UPC,price_elasticity,r_squared,n_obs,feature_lift_pct_m1,feature_lift_pct_m2,feature_lift_pct_m3,feature_lift_pct_m4,feature_lift_pct_m5,feature_lift_pct_m6,feature_lift_pct_m7,feature_lift_pct_m8,feature_lift_pct_m9,feature_lift_pct_m10,feature_lift_pct_m11,feature_lift_pct_m12,display_lift_pct_m1,display_lift_pct_m2,display_lift_pct_m3,display_lift_pct_m4,display_lift_pct_m5,display_lift_pct_m6,display_lift_pct_m7,display_lift_pct_m8,display_lift_pct_m9,display_lift_pct_m10,display_lift_pct_m11,display_lift_pct_m12,tpr_lift_pct_m1,tpr_lift_pct_m2,tpr_lift_pct_m3,tpr_lift_pct_m4,tpr_lift_pct_m5,tpr_lift_pct_m6,tpr_lift_pct_m7,tpr_lift_pct_m8,tpr_lift_pct_m9,tpr_lift_pct_m10,tpr_lift_pct_m11,tpr_lift_pct_m12
7192100339.0,-1.5415183650177289,0.43501975736034637,9568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7218063052.0,-3.476253516092918,0.44778508416177265,8322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7218063979.0,-3.573978871000482,0.4901698146058442,7803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7218063983.0,-3.1049829718346564,0.391530204785427,6967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7797502248.0,-1.311839537199403,0.11817260001996965,8792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7797508004.0,-1.0027786802431762,0.10463593687279482,8096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7797508006.0,-2.2523244116418306,0.1322551571765237,8513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31254742725.0,-1.04283466455241,0.2220653735835526,8072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31254742735.0,-1.8560295523684458,0.16839963739809005,8857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31254742835.0,-2.266283051948024,0.18602470100990165,8372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88491201426.0,-0.8494388677822637,0.1686537132656657,8560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88491201427.0,-2.0963411292471688,0.21290979972494983,8250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88491212971.0,-0.6865838091248307,0.4523772983901877,8075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
